id,name,line
1,Admiralty,Red
2,Ang Mo Kio,Red
3,Bishan,"Red, Yellow"
4,Braddell,Red
5,Bukit Batok,Red
6,Bukit Gombak,Red
7,Choa Chu Kang,Red
8,City Hall,"Red, Green"
9,Dhoby Ghaut,Red
10,Jurong East,"Red, Green"
12,Khatib,Red
13,Kranji,Red
14,Marina Bay,Red
15,Marina South Pier,Red
16,Marsiling,Red
17,Newton,Red
18,Novena,Red
19,Orchard,Red
20,Raffles Place,"Red, Green"
21,Sembawang,Red
22,Somerset,Red
23,Toa Payoh,Red
24,Woodlands,Red
25,Yew Tee,Red
26,Yio Chu Kang,Red
27,Yishun,Red
