id,name,line,lat,lng,LineOrder
83,Chinatown,Purple,1.284485,103.844340,"NE4,DT19"
84,Clarke Quay,Purple,1.284485,103.843825,NE5
85,Little India,Purple,1.307268,103.849490,"NE7,DT12"
86,Farrer Park,Purple,1.312459,103.854382,NE8
87,Boon Keng,Purple,1.319688,103.861849,NE9
88,Potong Pasir,Purple,1.331380,103.869295,NE10
89,Woodleigh,Purple,1.339295,103.870926,NE11
90,Kovan,Purple,1.349142,103.873887,NE13
91,Hougang,Purple,1.370894,103.892727,NE14
92,Buangkok,Purple,1.382431,103.892683,NE15
93,Sengkang,Purple,1.382520,103.892641,NE16
94,Punggol,Purple,1.404713,103.902217,NE17
