id,name,line,lat,lng,LineOrder
1,Admiralty,Red,1.440711,103.800955,NS10
2,Ang Mo Kio,Red,1.370037,103.849449,NS16
3,Bishan,"Red, Yellow",1.350815,103.848247,"NS17,CC15"
4,Braddell,Red,1.340288,103.845262,NS18
5,Bukit Batok,Red,1.348828,103.749374,NS2
6,Bukit Gombak,Red,1.359007,103.752089,NS3
7,Choa Chu Kang,Red,1.385521,103.745008,"NS4,BP1"
8,City Hall,"Red, Green",1.293364,103.851524,"NS24,EW13"
9,Dhoby Ghaut,Red,1.298684,103.845515,"NS24,NE6,CC1"
10,Jurong East,"Red, Green",1.334279,103.742014,"NS1,EW24"
12,Khatib,Red,1.417355,103.832855,NS14
13,Kranji,Red,1.42512,103.761916,NS7
14,Marina Bay,Red,1.27591,103.854108,"NS27,CE2"
15,Marina South Pier,Red,1.271,103.863216,NS28
16,Marsiling,Red,1.432628,103.773933,NS8
17,Newton,Red,1.312414,103.837533,"NS21,DT11"
18,Novena,Red,1.319965,103.843756,NS20
19,Orchard,Red,1.304176,103.832684,NS22
20,Raffles Place,"Red, Green",1.283882,103.851395,"NS26,EW14"
21,Sembawang,Red,1.448973,103.819723,NS11
22,Somerset,Red,1.299971,103.83822,NS23
23,Toa Payoh,Red,1.332578,103.847833,NS19
24,Woodlands,Red,1.437218,103.786593,NS9
25,Yew Tee,Red,1.397491,103.747196,NS5
26,Yio Chu Kang,Red,1.381917,103.844915,NS15
27,Yishun,Red,1.429453,103.835216,NS13
